,Name,Colour,RAM,ROM,Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Cores,Battery,Brand,Price,Url
11,E7 Power,Coral Red,4 GB,64 GB,13MP + 2MP,5MP Front Camera,16.54 cm (6.51 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh,Motorola Mobile,"₹8,299",https://www.flipkart.com/motorola-e7-power-coral-red-64-gb/p/itm3300062c815ba?pid=MOBFVH62GXHPHPFW&lid=LSTMOBFVH62GXHPHPFWMFPQQ0&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFVH62GXHPHPFW.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
12,Razr 5G,Polished Graphite,8 GB,256 GB,48MP Rear Camera,20MP Front Camera,15.75 cm (6.2 inch),2142 x 876 Pixels,Qualcomm Snapdragon 765G,Octa Core,2800 mAh,Motorola Mobile,"₹99,999",https://www.flipkart.com/motorola-razr-5g-polished-graphite-256-gb/p/itmf4a460fcfa13d?pid=MOBFVH78K4YFAUVG&lid=LSTMOBFVH78K4YFAUVGBMDCOE&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFVH78K4YFAUVG.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
13,XT1225,Moto Turbo,64 GB,"GSM - 850, 900, 1800, 1900; UMTS - 2100; 4G LTE (Cat 4) - Band 2, 3, 4, 5, 7, 17",Yes,Yes,"At the Head - 0.34 W/Kg, At the Body - 1.38 W/Kg",13.21 cm (5.2 inch),Android Lollipop 5.0.2,Qualcomm Snapdragon 805 QSC 8084,"H.264 AVC, VP8, H.263, MPEG4 SP, H.265",Motorola Mobile,"₹31,999",https://www.flipkart.com/moto-turbo-black-64-gb/p/itme45h87vyhb3mg?pid=MOBE45H673ZGUCVX&lid=LSTMOBE45H673ZGUCVXPJ95WK&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBE45H673ZGUCVX.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
14,XT1562,Moto X Play(With Turbo Charger),16 GB,"GSM - 850, 900, 1800, 1900; UMTS - 2100; 4G - LTE Bands (1, 3, 5, 7, 8, 19, 20, 28, 38, 40, 41)",Yes,Yes,"At the Head - 0.80 W/Kg, At the Body - 1.23 W/Kg",13.97 cm (5.5 inch),Android Lollipop 5.1.1,Qualcomm Snapdragon 615,"MPEG4, H.264",Motorola Mobile,"₹17,499",https://www.flipkart.com/moto-x-play-with-turbo-charger-white-16-gb/p/itmevt7nbqc3gtaa?pid=MOBEFM5HAFRNSJJA&lid=LSTMOBEFM5HAFRNSJJAILGWUD&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBEFM5HAFRNSJJA.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
15,Razr,Black,6 GB,128 GB,16MP Rear Camera,5MP Front Camera,15.75 cm (6.2 inch),800 x 600 Pixels,SDM710,Octa Core,2510 mAh,Motorola Mobile,"₹74,999",https://www.flipkart.com/motorola-razr-black-128-gb/p/itm4c4bee7d49861?pid=MOBFZZC4AWRCPCQY&lid=LSTMOBFZZC4AWRCPCQYMRFCGL&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFZZC4AWRCPCQY.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
16,"Handset with Inbuilt Battery, User Manual, Headset, Charger",XT1092,"GSM - 850, 900, 1800, 1900; UMTS - 2100; 4G LTE - Band 1, 3, 7, 20",2.5 GHz,Yes,"F2.25, Dual LED Ring Flash, Quick Capture, Tap Anywhere to Capture, Ring Flash with Dual LED, 4K Ultra HD Video Capture, 1080p HD Video (30 fps), Slow Motion Video, Burst Mode, Auto HDR, Panorama, Tap to Focus",Single Sim,"At the Head 0.726 W/Kg, At the Body 1.28 W/Kg","Date and Time Visualization, Dual Touch Capacitive Touchscreen Technology, Corning Gorilla Glass 3, Automatic Image Rotation",Android KitKat 4.4.4,No,Motorola Mobile,"₹24,999",https://www.flipkart.com/moto-x-2nd-generation-black-32-gb/p/itmevt7pswhqcw2y?pid=MOBEFS6SNU8QW7Q2&lid=LSTMOBEFS6SNU8QW7Q2H5ESNL&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBEFS6SNU8QW7Q2.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
17,Moto E 4th Gen,Iron Gray,2 GB,16 GB,8MP Rear Camera,5MP Front Camera,12.7 cm (5 inch),1280 x 720 Pixels,MTK6737,Quad Core,2800 mAh,Motorola Mobile,"₹8,499",https://www.flipkart.com/moto-e-4th-gen-iron-gray-16-gb/p/itmeuyd53uvf5zh6?pid=MOBEU9WR2H2PMN94&lid=LSTMOBEU9WR2H2PMN94VPFIBZ&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBEU9WR2H2PMN94.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
18,"Handset with Inbuilt Battery, User Manual, Headset, Charger",XT1092,"GSM - 850, 900, 1800, 1900; UMTS - 2100; 4G LTE - Band 1, 3, 7, 20",2.5 GHz,Yes,"F2.25, Dual LED Ring Flash",Single Sim,"At the Head 0.726 W/Kg, At the Body 1.28 W/Kg","Dual Touch Capacitive Touchscreen Technology, Date and Time Visualization, Corning Gorilla Glass 3, Automatic Image Rotation",Android KitKat 4.4.4,No,Motorola Mobile,"₹23,999",https://www.flipkart.com/moto-x-2nd-generation-black-leather-16-gb/p/itmevt7pswhqcw2y?pid=MOBDZ7WZFXPXWFE8&lid=LSTMOBDZ7WZFXPXWFE8XPNK3G&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBDZ7WZFXPXWFE8.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
19,Moto G6,Indigo Black,4 GB,64 GB,12MP + 5MP,16MP Front Camera,14.48 cm (5.7 inch),1080 x 2160 pixels,-,Octa Core,3000 mAh,Motorola Mobile,"₹20,000",https://www.flipkart.com/moto-g6-indigo-black-64-gb/p/itmf5wxe8ahnzkqz?pid=MOBF5Y2FGFTCPTWA&lid=LSTMOBF5Y2FGFTCPTWAGRXY1E&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBF5Y2FGFTCPTWA.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
20,Moto C Plus,Pearl White,2 GB,16 GB,8MP Rear Camera,2MP Front Camera,12.7 cm (5 inch),1280 x 720,Mediatek MTK6737 Quad Core 1.3Ghz,Quad Core,4000 mAh,Motorola Mobile,"₹6,900",https://www.flipkart.com/moto-c-plus-pearl-white-16-gb/p/itmeuyd6nhzycmaa?pid=MOBEU9WRGVXDPBSF&lid=LSTMOBEU9WRGVXDPBSFADI9JQ&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBEU9WRGVXDPBSF.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
21,"Handset, Headset, Wall Charger, USB Data Cable, Guides",XT 1550,"GSM – 850, 900, 1800; UMTS - 900, 2100; 4G - LTE (TD) (1, 3, 7, 8, 28) (40 TD2300)",1.4 GHz,Yes,"f/2.0, Field of View (FOV) 76 Degrees, Auto Focus, Quick Capture (Twist Wrist to Launch Camera), Tap Anywhere to Capture, Slow Motion Video, Burst Mode, Auto HDR, Panorama, Video iHDR, Manual Focus and Exposure Controls, Timer, Dynamic CCT Dual LED Flash, Hybrid Multi-layer / Absorptive IR Cut Filter, Tap to Focus, 4x - Digital Zoom (Zoom to Drag In / Out), Active Viewfinder (Recognizes QR Codes and Barcodes)",2-mic Support,"At the Head 0.905 W/kg, At the Body - 1.069 W/kg",Corning Gorilla Glass 3,Android Lollipop 5.1.1,MP3,Motorola Mobile,"₹10,999",https://www.flipkart.com/moto-g-3rd-generation-white-16-gb/p/itmevt7xpsh38yhy?pid=MOBE6KK9YZJBYGUC&lid=LSTMOBE6KK9YZJBYGUCWBZP5G&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBE6KK9YZJBYGUC.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
22,Moto E5,Grey/Flash Gray,2 GB,16 GB,13MP Rear Camera,-,14.48 cm (5.7 inch),720 x 1440 Pixels,-,Quad Core,4000 mAh,Motorola Mobile,"₹12,000",https://www.flipkart.com/moto-e5-grey-flash-gray-16-gb/p/itmf6nfxhunmrhfb?pid=MOBF6N69FTFY8TAW&lid=LSTMOBF6N69FTFY8TAWPB0RXS&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBF6N69FTFY8TAW.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
23,One Fusion+,Moonlight White,6 GB,128 GB,64MP + 8MP + 5MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 730G,Octa Core,5000 mAh,Motorola Mobile,"₹17,499",https://www.flipkart.com/motorola-one-fusion-moonlight-white-128-gb/p/itm07749a481ee89?pid=MOBFRFXHHWBM6BRR&lid=LSTMOBFRFXHHWBM6BRRZXH93F&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFRFXHHWBM6BRR.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
